ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	197	0.557343108926378	2.92607686680403	9.16803132288329e-25	4.58401566144164e-23	1.25457270734192e-23	5617	tags=55%, list=24%, signal=42%	TLR3/EIF2AK2/TLR1/MSR1/CXCL11/SGMS2/P2RX7/KIF1B/ACVR2A/IFNAR1/TNFSF15/ABI1/GNAI3/ATP2C1/NMI/C3AR1/CXCL10/CXCL9/ABCA1/CXCR6/MET/CYBB/AHR/FPR1/SLC4A4/OSMR/RNF144B/PSEN1/TNFSF10/PCDH7/PTAFR/HIF1A/AQP9/IL1R1/HRH1/CCRL2/ITGB8/INHBA/RAF1/IL18/MEFV/CMKLR1/ACVR1B/FZD5/RIPK2/VIP/OLR1/LCP2/PTPRE/CALCRL/EDN1/AXL/NFKB1/ITGB3/SLC31A1/IL15RA/IL7R/TNFRSF1B/NLRP3/RTP4/IRAK2/TPBG/SLC28A2/LDLR/IL1B/KLF6/CXCL8/ICAM1/EREG/LYN/PTGER2/GPR183/LAMP3/TLR2/PLAUR/PDPN/P2RY2/CLEC5A/HAS2/PROK2/ATP2A2/MXD1/CXCL6/ADGRE1/NOD2/MEP1A/IL2RB/ATP2B1/DCBLD2/MMP14/CSF3R/CCL20/PIK3R5/C5AR1/SLAMF1/NAMPT/TNFAIP6/SLC7A1/NPFFR2/IL4R/IL15/IFITM1/CCL5/CSF1/IL1A/KCNA3/PTGER4/LY6E/IRF1
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	198	0.551934030195941	2.90403690246523	3.09536104462941e-23	6.54326700544713e-22	1.79078886464869e-22	5335	tags=59%, list=23%, signal=46%	APOL6/PLSCR1/STAT1/EIF2AK2/CXCL11/IFIT2/IFIT3/OAS3/ZNFX1/DDX60/NMI/LAP3/CXCL10/ADAR/FGL2/GBP4/RNF213/CXCL9/SPPL2A/IFIH1/SSPN/MYD88/CASP7/SAMD9L/STAT3/TRIM21/PARP14/CMPK2/OAS2/FPR1/SAMHD1/UBE2L6/LATS2/CFH/C1S/RIPK1/TNFSF10/RSAD2/PLA2G4A/CD274/HIF1A/CD86/ARID5B/IFI44L/IL7/CMKLR1/TAP1/GBP6/B2M/RIPK2/CASP1/FAS/LCP2/CASP8/CFB/OASL/SOD2/MX2/NFKB1/IRF2/IL15RA/TDRD7/HLA-DQA1/RTP4/CASP3/PSMB9/IFI44/ZBP1/SECTM1/ICAM1/SERPING1/MARCHF1/C1R/IFIT1/NCOA3/FCGR1A/IFI27/CSF2RB/JAK2/WARS1/HERC6/USP18/CD38/XAF1/CASP4/BATF2/HLA-DRB1/ST8SIA4/PNP/MX1/IL2RB/SP110/SLAMF7/EIF4E3/PSMB8/ITGB7/PELI1/EPSTI1/IL18BP/TRAFD1/VCAM1/ISOC1/PNPT1/IDO1/XCL1/NAMPT/TNFAIP6/CD74/IL4R/IRF4/MTHFD2/IL15/TRIM14/NOD1/HLA-DMA/CCL5/TNFAIP3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	0.544405511963445	2.8706017450041	3.92596020326828e-23	6.54326700544713e-22	1.79078886464869e-22	5857	tags=57%, list=25%, signal=43%	ITGAV/NOTCH2/LAMA2/ITGB1/CALD1/COPA/FBN1/LAMC1/VCAN/MYLK/DAB2/LRP1/LAMA3/ECM2/COL4A1/TPM1/THBS2/SPOCK1/TNFRSF11B/DST/CDH11/WNT5A/CALU/INHBA/ANPEP/SGCB/COL5A2/FERMT2/ITGA2/DPYSL3/WIPF1/MXRA5/GJA1/ABI3BP/COL6A3/SNTB1/FAS/COL12A1/NTM/PLOD2/PMEPA1/DCN/PMP22/ITGB3/GREM1/TPM4/SGCD/FBLN5/FMOD/LAMC2/FSTL1/SDC4/SLIT2/CAP2/TGFBR3/FAP/LUM/CAPG/COL3A1/NID2/TGM2/CXCL8/PDGFRB/LOX/GEM/ID2/DKK1/SFRP4/FLNA/COL4A2/MMP2/CDH6/CD44/PRSS2/PLAUR/FBLN2/MMP1/GLIPR1/SPP1/PRRX1/SPARC/MFAP5/ADAM12/CXCL6/THBS1/ACTA2/MMP3/FBN2/FN1/COL8A2/COL1A2/COL11A1/ELN/FGF2/COL5A1/ITGB5/MMP14/MATN3/VCAM1/IL32/MATN2/SNAI2/MYL9/TIMP3/CTHRC1/IL15/TGFBI/TNFAIP3/FBLN1/EDIL3/LOXL2/TNC/TAGLN/THY1
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	143	0.549385897709062	2.74079014818187	3.50166754032401e-17	4.37708442540501e-16	1.197938895374e-16	4622	tags=52%, list=20%, signal=42%	BMPR1A/ATRX/PDLIM5/ADGRL2/DLG1/TJP1/NOTCH2/NFIB/SCAF8/ACVR2A/NEK7/KALRN/KIT/ATP2C1/LTBP1/NIPBL/ATXN1/TGFBR2/ADD3/PTEN/LAMC1/PHF3/NRP1/DAB2/INPP4B/ANXA4/APBB2/MET/CDC42BPA/PTPN21/PRKCA/TFPI/IGFBP5/MAPK14/ATP2B4/RUNX1/COL5A2/GJA1/IRS1/NR1D2/ZMIZ1/NR3C1/NFKB1/MMP16/SYNJ2/PMP22/ITGB3/FBLN5/PRDM2/CAP2/TGFBR3/LDLR/COL3A1/PDGFRB/ERBB2/ATRN/PPARG/MGLL/TOGARAM1/FHL2/DYRK1A/EFEMP1/SFMBT1/HAS2/AKT3/ANXA2/DDAH1/COL1A2/RND3/COL11A1/ATP2B1/PTGFR/ABCC1/SMAD3
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	196	0.48097298678636	2.51569506096862	4.05321600571425e-16	4.05321600571425e-15	1.10930122261653e-15	6593	tags=54%, list=29%, signal=39%	STRN/TLR8/CCSER2/F13A1/CTSS/C3AR1/GUCY1A1/CXCL10/EVI5/GPNMB/CBL/NRP1/CLEC4A/PDCD1LG2/PLEK2/SPON1/AMMECR1/ANO1/CFH/ALDH1A3/F2RL1/ITGBL1/HKDC1/TFPI/DNMBP/ADAM17/ZNF639/GALNT3/FCER1G/CA2/INHBA/ITGA2/CMKLR1/SOX9/MAP3K1/CFB/BIRC3/GPRC5B/MPZL2/PRELID3B/IL7R/TNFRSF1B/HSD11B1/PIGR/IL1B/DOCK2/ID2/ETV1/TMEM100/EREG/HDAC9/LAPTM5/PEG3/CSF2RA/SPARCL1/AKAP12/ITGB2/RABGAP1L/PLAUR/MTMR10/ADAMDEC1/SPP1/PRRX1/SPRY2/ALDH1A2/PTPRR/APOD/KCNN4/CROT/PECAM1/PLAT/DCBLD2/LY96/EMP1/PSMB8/MAP7/ADGRL4/ETS1/AVL9/ANXA10/CCL20/SDCCAG8/SATB1/IL1RL2/ETV5/NR1H4/TNFAIP3/IGF2/NIN/LCP1/PRDM1/IKZF1/GFPT2/BMP2/DUSP6/ST6GAL1/ADGRA2/MALL/EPHB2/ERO1A/RBP4/BTC/CSF2/IL33/IL10RA/NR0B2
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	195	0.473411927863465	2.48614758508741	1.86230454059962e-15	1.55192045049968e-14	4.24736123294651e-15	7615	tags=60%, list=33%, signal=41%	STAT1/TLR3/TLR1/F2R/ACVR2A/CTSS/ABI1/CCR1/EGFR/SOCS5/CXCL9/CCR2/CCR5/NCK1/EIF3A/GALNT1/UBE2D1/DEGS1/IGSF6/GBP2/FYB1/IL2RA/HIF1A/CD86/GPR65/IFNGR1/INHBA/FASLG/PTPRC/IL18/MAP3K7/HLA-DRA/IL7/MRPL3/TAP1/B2M/RIPK2/FAS/LCP2/TGFB2/TRAT1/ABCE1/EIF4G3/DARS1/HLA-DQA1/LY75/NLRP3/CD4/CAPG/IL1B/CD47/ICAM1/EREG/FLNA/HDAC9/LYN/CD3G/BCAT1/CRTAM/EIF3J/ITGB2/CD80/CD96/TLR2/CD28/FCGR2B/HLA-DOA/JAK2/HLA-DMB/TLR6/WARS1/CCL13/CD2/BCL10/ELF4/CD8B/ST8SIA4/IL2RB/SRGN/ETS1/C2/CD74/CD8A/IL4R/IRF4/IL15/HLA-DMA/CCL5/CSF1/ITK/THY1/IFNGR2/IL12RB1/CCL11/TAP2/CD40LG/BRCA1/PSMB10/KLRD1/GZMB/IFNG/HCLS1/GZMA/STAB1/RARS1/CXCR3/SIT1/MTIF2/CCL7/LY86/FGR/ITGAL/CD3E/PRF1/UBE2N/IL16/PRKCB
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	198	0.477301907909617	2.51135512281152	2.58595654927215e-15	1.84711182090868e-14	5.05525340459217e-15	6745	tags=56%, list=29%, signal=40%	USP8/PIK3CA/PLSCR1/PDP1/ADAM9/ZEB1/GNB4/CTSS/GNAI3/VCPIP1/LAP3/CTSO/PPP2CB/DOCK4/LAMP2/CASP7/GPD2/LIPA/LRP1/GMFB/PIK3CG/C1QC/PSEN1/CFH/C1S/PLA2G4A/DOCK9/FCER1G/CPM/CA2/PLA2G7/ITGAM/CASP5/RAF1/CASP10/CTSC/GCA/CASP1/OLR1/LCP2/PREP/BRPF3/CFB/ZFPM2/IRF2/DYRK2/LGALS3/XPNPEP1/C1QA/DGKH/KLK1/CASP3/CR1/PSMB9/PLEK/CBLB/SERPING1/LYN/RBSN/C1R/COL4A2/ANXA5/FDX1/PLAUR/ME1/JAK2/LGMN/KIF2A/CASP4/ERAP2/FN1/SH2B3/SRC/CDH13/C3/PLAT/MMP12/PRSS3/MMP14/PIK3R5/C2/USP15/CPQ/ACTN2/CCL5/TNFAIP3/USP14/PRKCD/KYNU/FCN1/TIMP2/MMP8/IRF1/PRCP/F8/USP16/DUSP6/MMP13/APOA4/CTSB/DOCK10/APOC1/CD40LG/F3/GZMK/L3MBTL4/GZMB/DGKG/CSRP1/GZMA
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	95	0.583568460904191	2.75756642152888	4.47235356461885e-14	2.45974999128025e-13	6.73194734455647e-14	3679	tags=53%, list=16%, signal=44%	KIF1B/COPB1/VPS4B/ZW10/MAPK1/EGFR/SNAP23/AP1G1/IGF2R/SGMS1/ARFGEF1/VAMP7/ATP1A1/SSPN/ATP7A/COPB2/STX12/STX7/GOLGA4/LAMP2/RAB5A/AP3B1/ABCA1/TMX1/ADAM10/ARCN1/SEC31A/CLTC/M6PR/DST/RAB9A/GALC/ANP32E/CLCN3/CTSC/CAV2/RPS6KA3/SEC22B/STAM/RAB14/VAMP3/NAPG/ARFIP1/USO1/ARFGEF2/TSPAN8/COG2/DOP1A/TSG101/PPT1
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	0.582373695414592	2.74227462657175	4.5486394115967e-14	2.45974999128025e-13	6.73194734455647e-14	5617	tags=65%, list=24%, signal=49%	PLSCR1/EIF2AK2/CXCL11/IFIT2/IFIT3/DDX60/NMI/LAP3/CXCL10/ADAR/ELF1/GBP4/IFIH1/SAMD9L/TRIM21/PARP14/TRIM5/CMPK2/GBP2/PARP9/UBE2L6/C1S/RSAD2/CCRL2/NCOA7/IFI44L/TMEM140/IL7/TAP1/SAMD9/B2M/RIPK2/CASP1/CASP8/OASL/OAS1/IRF2/TDRD7/RTP4/PSMB9/CD47/IFI44/IFI27/LAMP3/WARS1/HERC6/USP18/BATF2/MX1/SP110/PSMB8/EPSTI1/TRAFD1/PNPT1/CD74/IL4R/IL15/LPAR6/IFITM1/TRIM14/CSF1/LY6E/IRF1
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	196	0.456821329821676	2.38937153384868	4.9194999825605e-14	2.45974999128025e-13	6.73194734455647e-14	4392	tags=47%, list=19%, signal=39%	ARHGEF12/ROCK1/SOS1/KIF5B/PDLIM5/VCL/LATS1/DLG1/NOTCH2/PCGF5/NF1/ARHGAP5/RASAL2/PPP4R2/EPB41L2/KIF1B/ITSN1/CD2AP/RAPGEF5/SPTBN1/ABI1/OPHN1/DYNC1H1/MYO1E/FGD6/CDC42/FGD4/SMC1A/ARFGEF1/KIF20B/ALMS1/SMC4/SMC3/DOCK4/AKAP13/NCK1/STK38L/CLIP1/CDC42BPA/APC/RAB3GAP1/ECT2/ARHGAP29/CKAP5/ALS2/TLK1/PKD2/MID1/DST/HOOK3/TTK/RABGAP1/NET1/STAU1/ARHGEF3/TOP2A/ANLN/WASF2/BRCA2/PALLD/CDC27/SPTAN1/KIF11/ACTN4/RANBP9/PCM1/WASL/CDK1/KIF23/CEP57/DOCK2/RFC1/DLGAP5/FLNA/CENPF/MYH9/CLASP1/CCDC88A/RICTOR/KIF15/INCENP/FARP1/KIF4A/FBXO5/LMNB1/KIF3B/FLNB/EZR/NEK2/CENPE/BUB1/TRIO/ARHGEF11
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	197	0.436833619267404	2.29339652273242	3.15125844291139e-12	1.43239020132336e-11	3.92022581414815e-12	4758	tags=41%, list=21%, signal=33%	CUL5/ATRX/SYNCRIP/KIF5B/STAG1/FOXN3/MAP3K20/NOTCH2/RASAL2/CASP8AP2/PURA/CTCF/SRSF1/LBR/SMC1A/AMD1/NUP98/DR1/SMARCC1/GSPT1/KIF20B/BARD1/SMC4/ARID4A/SLC12A2/G3BP1/STIL/PDS5B/WRN/RPS6KA5/MEIS2/MAPK14/HIF1A/DMD/CUL3/TTK/PRMT5/SMC2/TOP2A/KNL1/BRCA2/CDC27/E2F3/SRSF10/KIF11/MKI67/MEIS1/RAD21/CDK1/KIF23/TOP1/RBL1/NOLC1/XPO1/CENPF/RAD23B/EXO1/MCM6/TMPO/KIF15/INCENP/KIF4A/FBXO5/LMNB1/NEK2/NUP50/CDC7/SLC38A1/CENPE/TFDP1/PRIM2/BUB1/JPT1/CHEK1/HMMR/NCL/POLQ/SMAD3/PAFAH1B1/CCND1/BUB3
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	100	0.524453792730451	2.49043354519018	5.02985970444299e-11	2.09577487685125e-10	5.7358049261192e-11	4929	tags=52%, list=21%, signal=41%	NCOA4/ITGAV/PDLIM5/IQGAP2/GNAI3/BMPR1B/ABHD2/GUCY1A1/ELK4/INPP4B/XRCC5/PIAS1/PTPN21/ALDH1A3/CDK6/CENPN/DHCR24/CAMKK2/CDC14B/ARID5B/SLC38A2/STK39/RPS6KA3/B2M/ZMIZ1/TMEM50A/ACSL3/PMEPA1/ACTN1/RAB4A/MERTK/AKAP12/HMGCS1/SGK1/TNFAIP8/TMPRSS2/SELENOP/ABCC4/MYL12A/SORD/SLC26A2/GSR/APPBP2/SEC24D/MAF/MAP7/PGM3/CCND1/LMAN1/UBE2J1/GPD1L/B4GALT1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199	0.412832055785297	2.17163282298101	7.71567730544543e-11	2.96756819440209e-10	8.1217655846794e-11	8062	tags=54%, list=35%, signal=36%	PDLIM5/NFE2L2/CXCL11/IFIT2/SERPINB8/CXCL10/NFAT5/REL/B4GALT5/IFIH1/ABCA1/BIRC2/LITAF/IL6ST/FUT4/KLF10/F2RL1/TANK/JAG1/FOSL2/CCRL2/PANX1/INHBA/IL18/TGIF1/TAP1/RIPK2/OLR1/PTPRE/BIRC3/EDN1/SOD2/NFKB1/TIPARP/PMEPA1/IL15RA/IL7R/MCL1/SDC4/LDLR/IL1B/KLF6/PLEK/GEM/ID2/ICAM1/DENND5A/LAMB3/CD80/CD44/GPR183/TLR2/PLAUR/SGK1/TNFAIP8/MXD1/CXCL6/DNAJB4/DRAM1/RCAN1/ATP2B1/BCL6/SMAD3/CCL20/CCND1/ETS2/B4GALT1/TUBB2A/NAMPT/TNFAIP6/CFLAR/CCL5/TNFAIP3/CSF1/IL1A/KYNU/PTGER4/IRF1/GFPT2/TNC/BMP2/EGR2/SPSB1/IFNGR2/TNFRSF9/CSF2/F3/ZBTB10/CXCL3/PLPP3/PLAU/CXCL1/BCL2A1/HBEGF/STAT5A/AREG/CXCL2/SNN/PFKFB3/FOSL1/SLC16A6/SIK1/KLF9/MARCKS/BHLHE40/PDE4B/NFIL3/TRIB1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	192	0.39365963850038	2.05611333835781	2.82696257953611e-09	1.00962949269147e-08	2.7631965063135e-09	5179	tags=40%, list=22%, signal=31%	VCL/DLG1/TJP1/MAP3K20/NF1/ADAM9/EPB41L2/PIK3CB/EGFR/ITGB1/NECTIN3/PTEN/FBN1/PARVA/ITGA9/RSU1/VCAN/NEXN/FYB1/LAMA3/SKAP2/CD274/TNFRSF11B/MAPK14/CD86/SYK/LIMA1/CDH11/ARHGEF6/CTNNA1/CAP1/PTK2/ITGA2/PTPRC/JAM3/CLDN18/IRS1/SHC1/SDC3/ACTN4/MPZL2/MPZL1/LAMC2/ACTN1/WASL/SLIT2/NECTIN4/NEGR1/ICAM1/ADAMTS5/MSN/MYH9/ADAM23/HADH/MMP2/LAMB3/CDH6/AKT3/ITGB4/NRAP/NLGN3/FLNC/CDK8/SRC/ARPC2/CDH1/PECAM1/CTNND1/VCAM1/CDH3/SIRPA/PCDH1/B4GALT1/COL17A1/MYL9/TGFBI
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	86	0.490704515813768	2.26173890831479	1.08629046943723e-07	3.19497196893304e-07	8.74413380971147e-08	6539	tags=57%, list=28%, signal=41%	STAT1/CXCL11/IFNAR1/CCR1/CXCL10/STAM2/CXCL9/PDGFC/CBL/MYD88/STAT3/OSMR/IL6ST/IL2RA/IL1R1/IFNGR1/PTPN11/IL13RA1/A2M/IL7/ACVR1B/FAS/REG1A/ITGA4/ITGB3/IL15RA/TNFRSF1B/IL1B/IL9R/LEPR/CSF2RA/CD44/CSF2RB/TLR2/CD38/HMOX1/IL17RA/CSF3R/CD9/PIK3R5/IL4R/CSF1/IRF1/IFNGR2/BAK1/IL12RB1/CSF2/TNFRSF12A/CD14
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	160	0.391179876982479	1.98006429472395	1.04960702516406e-07	3.19497196893304e-07	8.74413380971147e-08	5617	tags=44%, list=24%, signal=33%	ROCK1/CTNNB1/DPYD/F2R/HGF/XIAP/IGF2R/PAK1/RNASEL/CASP7/PSEN1/TNFSF10/CREBBP/IFNGR1/FASLG/PTK2/IL18/RETSAT/TOP2A/TAP1/CASP1/FAS/CASP8/BIRC3/SPTAN1/SOD2/CASP6/DCN/TGFB2/LGALS3/MCL1/CASP3/TGFBR3/LUM/ERBB3/IL1B/PDGFRB/ERBB2/EREG/APP/MMP2/CD44/CDK2/PPT1/SC5D/CD38/CD2/CASP4/BCL10/HMOX1/PEA15/GSR/LEF1/PLAT/EMP1/CCND1/DNAJC3/BNIP3L/SATB1/BMF/CFLAR/DFFA/TIMP3/PLPPR4/FEZ1/AVPR1A/IL1A/TIMP2/NEFH/IRF1
